#,Author Name,Number of Subjects,Number of Cases,Sub-group,Measurement,Median Age,Mean Age,Age,DOI,Sex (% Male),Specific Type of Test,Date of First Publication,Country,Sex
2,Vaira et al. 1,72,39,Objective,Taste Only; Taste and Smell,NA,49.2,49.2,10.1002/hed.26204,0.375,Four solution test,2020-04-27T00:00:00Z,Italy,37.5
4,Vaira et al. 2,33,17,Objective,Taste Only; Taste and Smell,NA,51.8,51.8,10.1002/hed.26228,0.3333,Four solution test,2020-05-01T00:00:00Z,Italy,33.33
5,Merza et al.,15,4,Subjective,Taste Only; Taste and Smell,NA,28.06,28.06,10.1016/j.dsx.2020.04.047,0.6,"Unknown, Hospital Reported",2020-05-05T00:00:00Z,Iraq,60
7,Levinson & Elbaz et al.,42,14,Subjective,Taste Only,34,NA,34,10.1080/23744235.2020.1772992,0.5476,Self Reported,2020-06-18T00:00:00Z,Israel,54.76
9,Haehner et al.,34,22,Subjective,Smell AND/OR Taste,NA,41.3,41.3,10.1159/000509143,0.454,Self Reported,2020-06-11T00:00:00Z,Germany,45.4
10,Speth et al.,103,67,Subjective,Taste Only,NA,46.8,46.8,10.1177/0194599820929185,0.485,Self Reported,2020-05-19T00:00:00Z,Switzerland,48.5
12,De Maria et al.,95,48,Subjective,Smell AND Taste,NA,NA,NA,10.1002/jmv.25995,NA,Self Reported,2020-05-08T00:00:00Z,Italy,NA
13,Menni et al. 2,7178,4668,Subjective,Smell AND Taste,NA,41.25,41.25,10.1038/s41591-020-0916-2,0.2812,Self Reported,2020-06-02T00:00:00Z,"United Kingdom, United States",28.12
14,Yan et al. 1,59,42,Subjective,Taste Only,NA,NA,NA,10.1111/alr.22579,0.492,Self Reported,2020-04-12T00:00:00Z,United States,49.2
15,Luers & Rokohl et al.,72,50,Subjective,Taste Only,NA,38,38,10.1093/cid/ciaa525,0.5694,Self Reported,2020-05-01T00:00:00Z,Germany,56.940000000000005
16,Roland et al.,145,95,Subjective,Smell OR Taste,NA,40,40,10.1111/alr.22602,0.3517,Self Reported,2020-05-04T00:00:00Z,"United States, Global",35.17
17,Boscolo‑Rizzo et al.,54,34,Subjective,Smell OR Taste,NA,NA,NA,10.1007/s00405-020-06066-9,NA,Self Reported,2020-05-24T00:00:00Z,Italy,NA
18,Liu et al.,321,42,Subjective,Smell OR Taste,NA,NA,NA,10.3390/ijerph17093311,0.47,"Unknown, Hospital Reported",2020-05-09T00:00:00Z,Taiwan,47
20,Paderno & Schreiber et al.,508,321,Subjective,Taste Only,NA,53.3,53.3,10.1111/alr.22610,0.561,Self Reported,2020-05-14T00:00:00Z,Italy,56.10000000000001
21,Lee et al.,3191,353,Subjective,Taste Only; Taste and Smell,NA,44,44,10.3346/jkms.2020.35.e174,0.364,Self Reported,2020-05-06T00:00:00Z,Korea,36.4
22,Lechien & Chiesa‐Estomba et al.,385,342,Subjective,Taste Only,NA,36.9,36.9,10.1007/s00405-020-05965-1,0.369,"Self Reported, Survey based on NHANES and sQOD-NS",2020-04-06T00:00:00Z,"Belgium, France, Spain, Italy",36.9
24,Gelardi et al.,72,52,Subjective,Taste Only; Taste and Smell,NA,49.7,49.7,10.23750/abm.v91i2.9524,0.5416,"Self Reported, Not specified",2020-05-11T00:00:00Z,Italy,54.16
25,Giacomelli et al.,59,17,Subjective,Taste Only; Taste and Smell,NA,60,60,10.1093/cid/ciaa330,0.678,Self Reported,2020-03-26T00:00:00Z,Italy,67.80000000000001
27,Lechien et al. 2,70,33,Subjective,Taste Only,NA,42,42,10.1002/hed.26279,0.651,Self Reported Survey,NA,NA,65.10000000000001
28,Shoer & Karady et al.,498,136,Subjective,Smell OR Taste,NA,49.076,49.076,10.1016/j.medj.2020.10.002,0.5843,Self Reported Survey,NA,Israel,58.43000000000001
29,Vaira et al. 3,345,155,Objective,Taste Only,60,NA,60,10.1002/hed.26269,0.678,Four solution test,2020-05-20T00:00:00Z,Italy,67.80000000000001
40,Mao & Wang et al.,214,12,Subjective,Taste Only,NA,52.7,52.7,10.1001/jamaneurol.2020.1127,0.407,"Self Reported, EHR Records",2020-02-25T00:00:00Z,China,40.699999999999996
55,Spinato et al.,202,130,Subjective,Smell OR Taste,NA,56,56,10.1001/jama.2020.6771,0.48,SNOT-22,2020-04-22T00:00:00Z,Italy,48
58,Beltran-Corbellini et al.,79,28,Subjective,Taste Only,NA,61.35,61.35,10.1111/ene.14273,0.563,Self Reported,2020-04-22T00:00:00Z,Spain,56.3
86,Trubiano et al.,28,7,Subjective,Smell AND Taste,55,NA,55,10.1093/cid/ciaa655,0.5,Self Reported,2020-05-28T00:00:00Z,Australia,50
87,Moein et al.,60,14,Subjective,Taste Only; Taste and Smell,NA,46.55,46.55,10.1111/alr.22587,0.6666,Self report,2020-04-17T00:00:00Z,Iran,66.66
89,Yan et al. 2,120,70,Subjective,Taste Only,53.5,NA,53.5,10.1111/alr.22592,0.4765,Self Reported,2020-04-24T00:00:00Z,United States,47.65
91,Gudbjartsson & Helgason et al.,1113,119,Subjective,Smell OR Taste,NA,41.3,41.3,10.1056/NEJMoa2006100,0.494,Self Reported,2020-04-14T00:00:00Z,Iceland,49.4
92,Wee et al.,154,35,Subjective,Smell OR Taste,NA,NA,NA,10.1007/s00405-020-05999-5,NA,"Self Reported, Unspecified",2020-04-24T00:00:00Z,Singapore,NA
